"","taxonomy","common"
"1","Abudefduf sexfasciatus","scissortail sergeant"
"2","Chaetodon unimaculatus","teardrop butterflyfish"
"3","Chlorurus sordidus","daisy parrotfish"
"4","Gnathodentex aureolineatus","goldspot seabream"
"5","Heniochus chrysostomus","threeband pennantfish"
"6","Melichthys vidua","pinktail triggerfish"
"7","Parupeneus insularis","twosaddle goatfish"
"8","Scarus frenatus","bridled parrotfish"
"9","Scarus psittacus","common parrotfish"
"10","Scarus schlegeli","yellowband parrotfish"
"11","Siganus argenteus","streamlined spinefoot"
"12","Stegastes fasciolatus","pacific gregory"
"13","Thalassoma amblycephalum","blunthead wrasse"
"14","Zebrasoma veliferum","sailfin tang"
